Brand Name,Generic Name,Has Boxed Warning,Boxed Warning Details
Metoprolol Succinate,METOPROLOL SUCCINATE ER TABLETS,No,No Boxed Warning
Felodipine,FELODIPINE,No,No Boxed Warning
Pioglitazone,PIOGLITAZONE,Yes,"WARNING: CONGESTIVE HEART FAILURE • Thiazolidinediones, including pioglitazone, cause or exacerbate congestive heart failure in some patients [see ] . • After initiation of pioglitazone, and after dose increases, monitor patients carefully for signs and symptoms of heart failure (e.g., excessive, rapid weight gain, dyspnea, and/or edema). If heart failure develops, it should be managed according to current standards of care and discontinuation or dose reduction of pioglitazone must be considered. • Pioglitazone is not recommended in patients with symptomatic heart failure. • Initiation of pioglitazone in patients with established New York Heart Association (NYHA) Class III or IV heart failure is contraindicated [see and ] . • Thiazolidinediones, including pioglitazone, cause or exacerbate congestive heart failure in some patients. • After initiation of pioglitazone, and after dose increases, monitor patients carefully for signs and symptoms of heart failure (e.g., excessive, rapid weight gain, dyspnea, and/or edema). If heart failure develops, it should be managed according to current standards of care and discontinuation or dose reduction of pioglitazone must be considered. • Pioglitazone is not recommended in patients with symptomatic heart failure. • Initiation of pioglitazone in patients with established New York Heart Association (NYHA) Class III or IV heart failure is contraindicated. ,"
Cholestyramine,CHOLESTYRAMINE,No,No Boxed Warning
Felodipine,FELODIPINE,No,No Boxed Warning
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )]. WARNING-FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
SIMVASTATIN,SIMVASTATIN,No,No Boxed Warning
Acarbose,ACARBOSE,No,No Boxed Warning
IRBESARTAN,IRBESARTAN,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue irbesartan tablets as soon as possible [see Warnings and Precautions ( 5.1 ) and Use in Specific Populations ( 8.1) ]. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 ) and Use in Specific Populations ( 8.1 )]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue irbesartan tablets as soon as possible. (5.1,8.1) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1,8.1)"
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue Lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue Lisinopril as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
Sodium Bicarbonate,SODIUM BICARBONATE,No,No Boxed Warning
ADMELOG,INSULIN LISPRO,No,No Boxed Warning
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
Metformin HCl,METFORMIN HCL,No,No Boxed Warning
Lovastatin,LOVASTATIN,No,No Boxed Warning
LISINOPRIL,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue lisinopril as soon as possible [see Warnings and Precautions (5.1) ]. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue lisinopril as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Glipizide,GLIPIZIDE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin­ associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin­ associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration ( 2.3 ), (2.7), Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions ( 5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin­-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
LOMAIRA,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration (2.3) , Contraindications (4) , Warnings and Precautions (5.1) ] . If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions (5.1) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. (5.1) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. (5.1) If lactic acidosis is suspected, discontinue metformin hydrochloride and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. (5.1)"
Verapamil Hydrochloride,VERAPAMIL HYDROCHLORIDE,No,No Boxed Warning
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions (5.1) ] . Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g., carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration (2.2) , Contraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue Metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions (5.1) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. ◻ Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) ◻ Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) ◻ If lactic acidosis is suspected, discontinue Metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions (5.1) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration (2.3) , (2.7), Contraindications (4) , Warnings and Precautions (5.1) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions (5.1) ] WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride extended-release tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended.( 5.1 )"
Prazosin Hydrochloride,PRAZOSIN HYDROCHLORIDE,No,No Boxed Warning
Metformin Hydrochloride,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin-associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin-associated lactic acidosis was characterized by elevated blood lactate levels (> 5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL [see Warnings and Precautions (5.1) ] . Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [see Dosage and Administration (2.3) , Contraindications (4) , Warnings and Precautions (5.1) ] . If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [see Warnings and Precautions (5.1) ] . WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally > 5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age > 65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
SODIUM BICARBONATE,SODIUM BICARBONATE,No,No Boxed Warning
FENOFIBRATE,FENOFIBRATE,No,No Boxed Warning
Doxazosin,DOXAZOSIN,No,No Boxed Warning
Fenofibrate,FENOFIBRATE,No,No Boxed Warning
METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,Yes,"WARNING: LACTIC ACIDOSIS Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. The onset of metformin­ associated lactic acidosis is often subtle, accompanied only by nonspecific symptoms such as malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Metformin­ associated lactic acidosis was characterized by elevated blood lactate levels (>5 mmol/Liter), anion gap acidosis (without evidence of ketonuria or ketonemia), an increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL [ see Warnings and Precautions ( 5.1 ) ]. Risk factors for metformin-associated lactic acidosis include renal impairment, concomitant use of certain drugs (e.g. carbonic anhydrase inhibitors such as topiramate), age 65 years old or greater, having a radiological study with contrast, surgery and other procedures, hypoxic states (e.g., acute congestive heart failure), excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin-associated lactic acidosis in these high risk groups are provided [ see Dosage and Administration ( 2.3 ), (2.7), Contraindications ( 4 ), Warnings and Precautions ( 5.1 ) ]. If metformin-associated lactic acidosis is suspected, immediately discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended [ see Warnings and Precautions ( 5.1 ) ]. WARNING: LACTIC ACIDOSIS See full prescribing information for complete boxed warning. Postmarketing cases of metformin-associated lactic acidosis have resulted in death, hypothermia, hypotension, and resistant bradyarrhythmias. Symptoms included malaise, myalgias, respiratory distress, somnolence, and abdominal pain. Laboratory abnormalities included elevated blood lactate levels, anion gap acidosis, increased lactate/pyruvate ratio; and metformin plasma levels generally >5 mcg/mL. ( 5.1 ) Risk factors include renal impairment, concomitant use of certain drugs, age >65 years old, radiological studies with contrast, surgery and other procedures, hypoxic states, excessive alcohol intake, and hepatic impairment. Steps to reduce the risk of and manage metformin­-associated lactic acidosis in these high risk groups are provided in the Full Prescribing Information. ( 5.1 ) If lactic acidosis is suspected, discontinue metformin hydrochloride tablets and institute general supportive measures in a hospital setting. Prompt hemodialysis is recommended. ( 5.1 )"
Spironolactone,SPIRONOLACTONE,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Valsartan,VALSARTAN,Yes,"WARNING: FETAL TOXICITY WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue valsartan tablets as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue valsartan tablets as soon as possible. ( 5.1 ) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
METOPROLOL TARTRATE,METOPROLOL TARTRATE,No,No Boxed Warning
IRBESARTAN,IRBESARTAN,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue Irbesartan Tablets as soon as possible. • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1)]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue Irbesartan Tablets as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1)"
Glipizide,GLIPIZIDE,No,No Boxed Warning
Lisinopril,LISINOPRIL,Yes,"WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue lisinopril as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 ) WARNING: FETAL TOXICITY When pregnancy is detected, discontinue lisinopril as soon as possible [see WARNINGS AND PRECAUTIONS ( 5.1 )] . Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see WARNINGS AND PRECAUTIONS ( 5.1 )] ."
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions ( 5.1 )]. WARNING-FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue benazepril hydrochloride tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,No,No Boxed Warning
Valsartan,VALSARTAN,Yes,"WARNING: FETAL TOXICITY • When pregnancy is detected, discontinue valsartan tablets as soon as possible. (5.1) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. • When pregnancy is detected, discontinue valsartan tablets as soon as possible. ( 5.1 ) • Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
Torsemide,TORSEMIDE,No,No Boxed Warning
Amlodipine Besylate,AMLODIPINE BESYLATE,No,No Boxed Warning
Phentermine Hydrochloride,PHENTERMINE HYDROCHLORIDE,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Nifedipine,NIFEDIPINE,No,No Boxed Warning
Atenolol,ATENOLOL,No,No Boxed Warning
Valsartan and Hydrochlorothiazide,VALSARTAN AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY •When pregnancy is detected, discontinue valsartan and hydrochlorothiazide tablets as soon as possible. (5.1) •Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. (5.1) WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue valsartan and hydrochlorothiazide tablets as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
Atorvastatin Calcium,ATORVASTATIN CALCIUM,No,No Boxed Warning
Omega-3-Acid Ethyl Ester,OMEGA-3-ACID ETHYL ESTERS,No,No Boxed Warning
Sodium Bicarbonate,SODIUM BICARBONATE,No,No Boxed Warning
telmisartan,TELMISARTAN,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue telmisartan as soon as possible [see Warnings and Precautions (5.1) and Use in Specific Populations (8.1) ]. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) and Use in Specific Populations (8.1) ] WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue telmisartan as soon as possible ( 5.1 , 8.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )"
Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue benazepril as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see Warnings and Precautions (5.1) ]. WARNING- FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue benazepril as soon as possible. ( 5.1 ) Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,No,No Boxed Warning
SIMVASTATIN,SIMVASTATIN,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
Simvastatin,SIMVASTATIN,No,No Boxed Warning
Nadolol,NADOLOL,Yes,"Exacerbation of Ischemic Heart Disease Following Abrupt Withdrawal Hypersensitivity to catecholamines has been observed in patients withdrawn from beta-blocker therapy; exacerbation of angina and, in some cases, myocardial infarction have occurred after abrupt discontinuation of such therapy. When discontinuing chronically administered nadolol, particularly in patients with ischemic heart disease, the dosage should be gradually reduced over a period of one to two weeks and the patient should be carefully monitored. If angina markedly worsens or acute coronary insufficiency develops, nadolol administration should be reinstituted promptly, at least temporarily, and other measures appropriate for the management of unstable angina should be taken. Patients should be warned against interruption or discontinuation of therapy without the physician's advice. Because coronary artery disease is common and may be unrecognized, it may be prudent not to discontinue nadolol therapy abruptly even in patients treated only for hypertension."
Losartan Potassium and Hydrochlorothiazide,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue losartan potassium and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus [see WARNINGS AND PRECAUTIONS ( 5.1 )]. WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue losartan potassium and hydrochlorothiazide tablets as soon as possible. Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus. ( 5.1 )"
Metoprolol Tartrate,METOPROLOL TARTRATE,No,No Boxed Warning
TRULICITY,DULAGLUTIDE,Yes,"WARNING: RISK OF THYROID C-CELL TUMORS In male and female rats, dulaglutide causes a dose-related and treatment-duration-dependent increase in the incidence of thyroid C-cell tumors (adenomas and carcinomas) after lifetime exposure. It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined [see Warnings and Precautions ( 5.1 ), and Nonclinical Toxicology ( 13.1 )] . TRULICITY is contraindicated in patients with a personal or family history of MTC and in patients with Multiple Endocrine Neoplasia syndrome type 2 (MEN 2). Counsel patients regarding the potential risk of MTC with use of TRULICITY and inform them of symptoms of thyroid tumors (e.g., mass in the neck, dysphagia, dyspnea, persistent hoarseness). Routine monitoring of serum calcitonin or using thyroid ultrasound is of uncertain value for early detection of MTC in patients treated with TRULICITY [see Contraindications ( 4 ) and Warnings and Precautions ( 5.1 )] . WARNING: RISK OF THYROID C-CELL TUMORS See full prescribing information for complete boxed warning. Dulaglutide causes thyroid C-cell tumors in rats. It is unknown whether TRULICITY causes thyroid C-cell tumors, including medullary thyroid carcinoma (MTC), in humans as the human relevance of dulaglutide-induced rodent thyroid C-cell tumors has not been determined ( 5.1 , 13.1 ). TRULICITY is contraindicated in patients with a personal or family history of MTC and in patients with Multiple Endocrine Neoplasia syndrome type 2 (MEN 2). Counsel patients regarding the potential risk of MTC and symptoms of thyroid tumors ( 4 , 5.1 )."
Olmesartan Medoxomil,OLMESARTAN MEDOXOMIL,Yes,"WARNING: FETAL TOXICITY When pregnancy is detected, discontinue olmesartan medoxomil as soon as possible ( 5.1 , 8.1) . Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 ) . WARNING: FETAL TOXICITY See full prescribing information for complete boxed warning. When pregnancy is detected, discontinue olmesartan medoxomil as soon as possible ( 5.1 , 8.1 ). Drugs that act directly on the renin-angiotensin system can cause injury and death to the developing fetus ( 5.1 , 8.1 )."
Atenolol,ATENOLOL,Yes,"BOXED WARNING Cessation of Therapy with Atenolol Patients with coronary artery disease, who are being treated with atenolol, should be advised against abrupt discontinuation of therapy. Severe exacerbation of angina and the occurrence of myocardial infarction and ventricular arrhythmias have been reported in angina patients following the abrupt discontinuation of therapy with beta blockers. The last two complications may occur with or without preceding exacerbation of the angina pectoris. As with other beta blockers, when discontinuation of atenolol is planned, the patients should be carefully observed and advised to limit physical activity to a minimum. If the angina worsens or acute coronary insufficiency develops, it is recommended that atenolol be promptly reinstituted, at least temporarily. Because coronary artery disease is common and may be unrecognized, it may be prudent not to discontinue atenolol therapy abruptly even in patients treated only for hypertension. (See Dosage and administration )."
Lovastatin,LOVASTATIN,No,No Boxed Warning
Nifedipine,NIFEDIPINE,No,No Boxed Warning
atorvastatin calcium,"ATORVASTATIN CALCIUM, FILM COATED",No,No Boxed Warning
metoprolol succinate,METOPROLOL SUCCINATE,No,No Boxed Warning
atorvastatin calcium,"ATORVASTATIN CALCIUM, FILM COATED",No,No Boxed Warning
Doxazosin,DOXAZOSIN MESYLATE,No,No Boxed Warning
ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,No,No Boxed Warning
Sodium Bicarbonate,SODIUM BICARBONATE,No,No Boxed Warning
BASAGLAR KwikPen,INSULIN GLARGINE,No,No Boxed Warning
VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,No,No Boxed Warning
Glimepiride,GLIMEPIRIDE,No,No Boxed Warning
metoprolol succinate,METOPROLOL SUCCINATE,No,No Boxed Warning
Glipizide,GLIPIZIDE,No,No Boxed Warning
Torsemide,TORSEMIDE,No,No Boxed Warning
